fName,metaCleanId
Lynn Hershman-Leeson,1
Dan Trachtenberg,2
Brad Silberling,3
Jamie Linden,4
Cameron Cairnes,5
Jim O'Hanlon,6
Erik Poppe,7
Roland Emmerich,8
Carlos Marques-Marcet,9
Bent Hamer,10
Baltasar KormÃƒÂ¡kur,11
Kevin Lima,12
Robert Moresco,13
Xiaoshuai Wang,14
Jerzy Skolimowski,15
Alison Klayman,16
Nikita Mikhalkov,17
Amir Bar-Lev,18
Brea Grant,19
Ty Roberts,20
Lotfy Nathan,21
Renny Harlin,22
Nicolai Fuglsig,23
Steve McQueen,24
Corneliu Porumboiu,25
Danny Boyle,26
GÃƒÂ©la Babluani,27
Takashi  Miike,28
Gary Winick,29
Michael Bay,30
Oliver Hirschbiegel,31
Daniel Stamm,32
GÃƒÂ©la Babluani,33
Ava DuVernay,34
Daniel Lee,35
Mikael HÃƒÂ¥fstrÃƒÂ¶m,36
John Herzfeld,37
Richard Donner,38
Richard Jobson,39
Burr Steers,40
Davy Rothbart,41
Delphine Coulin,42
Jackie Chan,43
Sam Mendes,44
Zak Hilditch,45
Ferenc TÃƒÂ¶rÃƒÂ¶k,46
Johanna Hamilton,47
Yen Tan,48
David Marmor,49
SÃƒÂ©bastien Betbeder,50
Julie Delpy,51
Julie Delpy,52
John Singleton,53
Baltasar KormÃƒÂ¡kur,54
Bernard Rose,55
Malte Ludin,56
RamÃƒÂ³n Salazar,57
Morgan Neville,58
Iain Forsyth,59
Roland Emmerich,60
Dinesh D'Souza,61
Kar Wai Wong,62
Seth Larney,63
Mike Mills,64
Robert Luketic,65
Jon Lucas,66
Brian Kirk,67
Alejandro GonzÃƒÂ¡lez IÃƒÂ±ÃƒÂ¡rritu,68
Chris Miller,69
Michael Dunaway,70
York Alec Shackleton,71
Paul Greengrass,72
Chris Miller,73
Dylan Baker,74
Zhang Ke Jia,75
Alexandre Arcady,76
Joe Swanberg,77
Abbas Kiarostami,78
Michael Winterbottom,79
Michael Ferris Gibson,80
Spike Lee,81
Anne Fletcher,82
Betty Thomas,83
Danny Boyle,84
Matt Ross,85
Juan Carlos Fresnadillo,86
Tom Tykwer,87
Marc Silver,88
Jordan Roberts,89
Eric Mendelsohn,90
Christopher Sun Lap Key,91
GaÃƒÂ«l Morel,92
McG,93
Jafar Panahi,94
Gaby Dellal,95
BenoÃƒÂ®t Jacquot,96
Ki-duk Kim,97
Thom Fitzgerald,98
DJ Pooh,99
Alexis Lloyd,100
David Slade,101
Ruben Fleischer,102
Zack Snyder,103
Noam Murro,104
Demian Lichtenstein,105
Elan Bogarin,106
Rob Zombie,107
James Mangold,108
Pauline Chan,109
Claire Denis,110
Fernando Meirelles,111
Dani Menkin,112
Ilya Khrjanovsky,113
JÃƒÂ©rÃƒÂ´me Reybaud,114
Cristian Mungiu,115
Michael Lehmann,116
Lee Aronsohn,117
Brian Helgeland,118
Malcolm Venville,119
Abel Ferrara,120
Andrew Haigh,121
Bill Ross IV,122
Johannes Roberts,123
Johannes Roberts,124
Carl Rinsch,125
Michael Apted,126
Andrew Nackman,127
Emad Burnat,128
Renny Harlin,129
Richard Loncraine,130
Danny Buday,131
Victor Levin,132
Peter Segal,133
Marc Webb,134
Jonathan Levine,135
Doug Block,136
Sophie Hyde,137
Michael Apted,138
FranÃƒÂ§ois Ozon,139
Marja Lewis Ryan,140
Toa Fraser,141
Blayne Weaver,142
BjÃƒÂ¶rn Stein,143
Michael Bay,144
Michael Apted,145
Vikram Gandhi,146
Pen-Ek Ratanaruang,147
Juan Carlos Maneglia,148
Bob Byington,149
JosÃƒÂ© Padilha,150
Steve Rosenbaum,151
Jay Martin,152
Alexandre Moratto,153
Yann Demange,154
Michael Haneke,155
Patrick Vollrath,156
Hao Wu,157
Alexandre O. Philippe,158
Curtis Hanson,159
Reed Cowan,160
FranÃƒÂ§ois Ozon,161
Peter Greenaway,162
ÃƒÂlex de la Iglesia,163
Jon Avnet,164
Shane Acker,165
Lab Ky Mo,166
Michael Winterbottom,167
Michael Polish,168
Tom Caltabiano,169
Aimee Lagos,170
Ramin Bahrani,171
Aaron Aites,172
Tatia Rosenthal,173
Jon Lucas,174
Brian Crano,175
Christian Duguay,176
Jeff Howlett,177
Marielle Heller,178
Alejandro Chomski,179
Ron Howard,180
Chris Weitz,181
Luca Guadagnino,182
Rob Meyer,183
Eran Riklis,184
Thierry Binisti,185
Gil Kenan,186
Sara Hirsh Bordo,187
Patrick Wang,188
Patrick Wang,189
Morgan Matthews,190
Lydia Dean Pilcher,191
Kat Coiro,192
Alain Gagnol,193
Fabrice Cazeneuve,194
Robert Zemeckis,195
Arnaud Desplechin,196
Jonas Carpignano,197
Mark Rosman,198
Jan Ole Gerster,199
ÃƒÂ‰lÃƒÂ©onore Faucher,200
Alonso Ruiz Palacios,201
Anna Axster,202
Trevor White,203
Gore Verbinski,204
David Cronenberg,205
Simon Fellows,206
Sergio Arau,207
Richard LaGravenese,208
Thomas Balmes,209
John Waters,210
Gail Mancuso,211
Lasse Hallstrom,212
Charles Martin Smith,213
Louis Garrel,214
Tyler Perry,215
Helen Lesnick,216
Tom Fassaert,217
Mark Williams,218
Chris Hopewell,219
SebastiÃƒÂ¡n Lelio,220
Ben Wheatley,221
Yael Hersonski,222
Maria Sole Tognazzi,223
Helmut Schleppi,224
Samantha Grant,225
David Wain,226
Sophie Deraspe,227
David Lowery,228
Amy S. Weber,229
KÃƒÂ´ji Fukada,230
Ana Lily Amirpour,231
Roman Coppola,232
Rodney Ascher,233
Katherine Dieckmann,234
John Moore,235
Alex Gregory,236
Mike Barker,237
Abner Pastoll,238
Ridley Scott,239
Erik Nelson,240
Dito Montiel,241
Chris Koch,242
Judy Greer,243
Seong-hoon Kim,244
Michael Tiddes,245
Michael Tiddes,246
Terrence Malick,247
Tobias Lindholm,248
David Cronenberg,249
Lukas Moodysson,250
Richard Ledes,251
Tom Tykwer,252
Michael Mayer,253
Chuck Workman,254
Claude Berri,255
Parvez Sharma,256
Denzel Washington,257
Silas Howard,258
Andy Goddard,259
Brian Helgeland,260
Siew Hua Yeo,261
Yaron Zilberman,262
Christopher Browne,263
Daniel Junge,264
Hiroyuki Okiura,265
Bruce Weber,266
Benjamin Timlett,267
Nicole Kassell,268
Alan Rickman,269
Michael J. Weithorn,270
Pascal Chaumeil,271
Nigel Cole,272
David Guy Levy,273
Sydney Macartney,274
Shainee Gabel,275
F. Gary Gray,276
Hannes Holm,277
Brent Pierson,278
Chris Kennedy,279
Varon Bonicos,280
Jonathan Demme,281
Bernard Rapp,282
Tristram Shapeero,283
Casey Wilder Mott,284
Michael Winterbottom,285
Christopher Guest,286
Sam Taylor-Johnson,287
Seth MacFarlane,288
Juan Antonio Bayona,289
Rodrigo PlÃƒÂ¡,290
J.C. Chandor,291
Anton Corbijn,292
Amy Koppelman,293
Brandon Kimber,294
Emilio AragÃƒÂ³n,295
Samuel Bayer,296
Fernando LeÃƒÂ³n de Aranoa,297
David Twohy,298
John D. Hancock,299
Roy Andersson,300
Kristi Jacobson,301
Les Blank,302
Robert Altman,303
Jean-StÃƒÂ©phane Sauvaire,304
Joan Carr-Wiggin,305
Matthew Heineman,306
Patrice Leconte,307
Jacques Audiard,308
Terence Davies,309
John Krasinski,310
John Krasinski,311
Woody Allen,312
Catherine Breillat,313
Mark Grieco,314
Kalyanee Mam,315
Shane Meadows,316
Nikolaj Arcel,317
Julian Jarrold,318
Peter O'Fallon,319
Richard Linklater,320
Mahamat-Saleh Haroun,321
Claude Miller,322
Chris Bolan,323
Asghar Farhadi,324
Ethan Coen,325
Richard Phelan,326
Michael Maren,327
Michael Corrente,328
Jeffrey Jacobs,329
Federico Hidalgo,330
Naoko Yamada,331
Paul Feig,332
Ann Hui,333
Yimou Zhang,334
Tom Ford,335
David M. Rosenthal,336
Parvez Sharma,337
Denis CÃƒÂ´tÃƒÂ©,338
Toni Kalem,339
Hans Petter Moland,340
Bille August,341
Peter Hyams,342
Van Neistat,343
Bradley Cooper,344
Daniel Gordon,345
Roger Spottiswoode,346
Natalie Portman,347
Ji-woon Kim,348
Manoel de Oliveira,349
Hun Jang,350
Hannah Fidell,351
Ramona S. Diaz,352
JuliÃƒÂ¡n HernÃƒÂ¡ndez,353
Brian Robbins,354
Wayne Wang,355
Bahman Ghobadi,356
Zhang Ke Jia,357
StÃƒÂ©phane Aubier,358
Amma Asante,359
Donal MacIntyre,360
Todd Strauss-Schulson,361
Jean-Pierre Jeunet,362
Sarah Daggar-Nickson,363
Scott Frank,364
Ken Kwapis,365
Adam Shankman,366
Tobias Lindholm,367
Michael F. Sears,368
Roman White,369
Megumi Sasaki,370
Hlynur Palmason,371
Fernando Coimbra,372
Elisabeth Subrin,373
Max FÃƒÂ¤rberbÃƒÂ¶ck,374
Jean-Luc Godard,375
StÃƒÂ©phane BrizÃƒÂ©,376
Ava DuVernay,377
AnahÃƒÂ­ Berneri,378
Brian Shoaf,379
Steve James,380
Stephen Gaghan,381
Darren Lynn Bousman,382
Abbas Kiarostami,383
Krutin Patel,384
Aharon Keshales,385
John Singleton,386
Chris Sheridan,387
Fernando Grostein Andrade,388
Hans Petter Moland,389
Lee Isaac Chung,390
Jill Culton,391
Tracy Droz Tragos,392
Chris Weitz,393
Gerard Stembridge,394
Jesse Zwick,395
Stephen Elliott,396
Asghar Farhadi,397
Roy Andersson,398
Steve Pink,399
Alexander Payne,400
Richard Curtis,401
Roberta Grossman,402
Phillip Noyce,403
Timur Bekmambetov,404
Katharina Otto-Bernstein,405
Terry Jones,406
Mandie Fletcher,407
Angus MacLachlan,408
Catherine Breillat,409
Radu Ciorniciuc,410
