director,title
Lynn Hershman-Leeson,!Women Art Revolution
Dan Trachtenberg,10 Cloverfield Lane
Brad Silberling,10 Items or Less
Jamie Linden,10 Years
Cameron Cairnes,100 Bloody Acres
Jim O'Hanlon,100 Streets
Erik Poppe,"1,000 Times Good Night"
Roland Emmerich,"10,000 BC"
Carlos Marques-Marcet,"10,000 km"
Bent Hamer,1001 Grams
Baltasar Kormákur,Reykjavík
Kevin Lima,102 Dalmatians
Robert Moresco,10th & Wolf
Xiaoshuai Wang,11 Flowers
Jerzy Skolimowski,11 Minutes
Alison Klayman,11/8/16
Nikita Mikhalkov,12
Amir Bar-Lev,12-12-12
Brea Grant,12 Hour Shift
Ty Roberts,12 Mighty Orphans
Lotfy Nathan,12 O'Clock Boys
Nicolai Fuglsig,12 Strong
Corneliu Porumboiu,12:08 East of Bucharest
Danny Boyle,127 Hours
Gary Winick,13 Going on 30
Oliver Hirschbiegel,13 Minutes
Daniel Stamm,13 Sins
Géla Babluani,13 Tzameti
Ava DuVernay,13th
Daniel Lee,14 Blades
Mikael Håfström,1408
John Herzfeld,15 Minutes
Richard Donner,16 Blocks
Richard Jobson,16 Years of Alcohol
Burr Steers,17 Again
Davy Rothbart,17 Blocks
Delphine Coulin,17 Girls
Jackie Chan,1911
Sam Mendes,1917
Zak Hilditch,1922
Ferenc Török,1945
Johanna Hamilton,1971
Yen Tan,1985
David Marmor,1BR
Sébastien Betbeder,"2 Autumns, 3 Winters"
Julie Delpy,2 Days in New York
Julie Delpy,2 Days in Paris
John Singleton,2 Fast 2 Furious
Baltasar Kormákur,2 Guns
Bernard Rose,2 Jacks
Malte Ludin,2 or 3 Things I Know About Him
Ramón Salazar,20 Centimeters
Morgan Neville,20 Feet from Stardom
Iain Forsyth,"20,000 Days on Earth"
Roland Emmerich,2012
Dinesh D'Souza,2016: Obama's America
Kar Wai Wong,2046
Seth Larney,2067
Mike Mills,20th Century Women
Robert Luketic,21
Jon Lucas,21 and Over
Brian Kirk,21 Bridges
Alejandro González Iñárritu,21 Grams
Michael Dunaway,21 Years: Richard Linklater
York Alec Shackleton,211
Paul Greengrass,22 July
Dylan Baker,23 Blast
Zhang Ke Jia,24 City
Alexandre Arcady,24 Days
Abbas Kiarostami,24 Frames
Michael Winterbottom,24 Hour Party People
Michael Ferris Gibson,24 Hours on Craigslist
Spike Lee,25th Hour
Anne Fletcher,27 Dresses
Danny Boyle,28 Days Later...
Matt Ross,28 Hotel Rooms
Juan Carlos Fresnadillo,28 Weeks Later
Tom Tykwer,3
Marc Silver,"3 1/2 Minutes, 10 Bullets"
Jordan Roberts,"3, 2, 1... Frankie Go Boom"
