MovieMovieId,genregenreId
1,1
2,2
4,1
6,1
7,3
8,4
9,1
10,4
11,1
12,4
13,1
14,1
15,1
16,3
17,5
18,1
19,1
20,1
21,4
22,6
23,3
24,1
25,1
26,7
27,6
28,8
29,1
30,8
31,1
32,1
33,1
34,6
35,3
36,1
37,9
38,1
39,1
40,4
41,1
42,3
43,3
44,4
45,8
46,9
47,3
48,4
49,3
50,1
51,3
52,7
53,3
54,4
55,7
56,2
57,2
58,2
59,1
60,6
61,4
62,2
63,3
64,8
65,4
66,1
67,6
68,2
69,3
70,8
71,6
73,3
74,8
75,1
77,4
78,1
80,1
81,4
82,1
83,4
85,8
86,4
87,6
88,8
89,8
90,4
91,1
92,1
93,4
94,1
95,3
96,6
97,9
98,8
99,1
100,1
101,1
102,4
103,1
104,4
105,6
106,8
107,8
108,3
109,8
110,1
111,1
112,4
113,4
114,4
115,1
116,1
117,4
118,6
178,2
119,4
120,8
121,9
122,4
123,7
124,2
125,4
126,1
127,6
128,1
129,6
130,6
131,1
133,1
134,8
135,1
136,8
137,3
138,1
139,7
140,1
141,1
142,4
143,1
144,3
145,5
146,4
147,1
179,9
149,1
150,8
151,1
152,1
153,11
154,8
155,2
156,8
157,1
158,3
159,6
160,8
161,5
162,4
163,2
164,1
165,4
166,4
167,4
168,4
169,4
170,1
171,4
172,1
173,4
174,8
175,4
176,4
177,1
180,4
181,1
182,1
183,1
184,6
186,8
187,4
188,4
189,1
190,11
191,8
192,1
193,8
194,3
195,1
196,3
198,1
199,3
200,3
201,4
202,4
203,9
204,2
205,1
206,1
207,7
208,8
209,11
210,1
211,1
212,1
213,1
214,9
215,1
216,4
217,1
218,1
219,5
220,1
221,2
222,8
223,8
224,6
225,2
226,9
227,5
228,2
229,1
230,4
231,1
232,6
233,4
234,5
235,1
236,3
237,3
238,2
239,3
240,1
243,3
244,3
245,1
246,3
247,6
248,1
249,3
250,1
251,4
252,4
253,1
254,1
255,11
257,3
258,8
259,1
261,8
378,7
15114,1
262,4
263,1
264,3
265,1
266,7
267,4
268,7
269,12
270,6
271,8
272,4
273,1
274,11
275,4
277,2
278,4
279,4
280,2
281,2
282,5
283,7
284,1
285,3
286,2
287,9
288,1
289,3
290,8
291,2
292,4
293,1
294,8
295,1
296,4
297,8
298,1
299,12
301,3
302,4
303,8
304,4
305,12
306,1
307,7
308,1
309,4
310,6
311,4
312,6
313,4
314,6
315,2
316,1
317,8
318,3
319,8
320,4
2983,7
321,3
322,9
323,4
324,5
325,1
326,1
327,2
328,4
329,8
330,11
331,8
332,4
333,4
334,7
335,1
336,8
337,3
338,1
339,1
340,1
341,4
342,1
343,1
344,1
345,4
346,4
347,6
348,4
349,9
350,4
351,6
352,1
353,1
354,4
355,4
356,6
357,7
358,3
359,3
360,3
361,2
362,1
363,1
364,11
365,1
366,8
367,4
368,1
369,4
370,4
371,1
372,4
373,1
374,2
375,5
376,3
377,4
379,1
380,2
381,1
382,9
383,8
384,4
385,1
386,1
387,1
388,4
389,4
390,3
391,4
392,1
393,2
394,1
395,12
396,1
397,1
398,3
399,3
400,8
401,1
402,2
403,3
404,2
405,8
406,6
407,3
408,1
409,3
410,3
411,6
412,3
413,11
414,7
415,3
416,1
417,8
418,1
419,1
420,1
421,2
422,8
423,1
424,1
425,3
426,1
427,8
428,5
429,8
430,1
431,1
432,3
433,2
434,1
435,4
436,3
437,6
438,6
439,9
440,3
441,3
442,1
443,4
444,2
445,1
446,1
447,1
448,5
449,4
450,3
451,2
452,5
453,3
454,4
455,9
456,6
457,1
458,9
459,6
460,1
461,4
462,3
463,8
464,4
465,6
466,3
467,1
468,6
469,8
470,3
471,3
472,1
473,1
474,4
475,1
476,3
477,7
478,3
479,1
480,1
482,1
483,2
484,1
485,9
486,1
487,3
488,3
489,1
546,2
490,4
491,1
492,1
493,8
494,2
495,1
496,8
497,1
498,2
499,3
500,8
501,1
502,1
503,4
504,4
505,1
506,5
507,1
508,3
509,4
510,3
512,2
513,3
514,1
515,3
516,1
608,3
15703,4
517,3
518,8
520,1
521,8
522,3
523,4
524,1
526,1
527,4
528,4
529,4
530,8
531,1
532,1
533,1
534,4
535,5
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,11
545,1
547,1
548,3
549,8
550,7
551,4
552,3
553,9
554,1
556,1
557,1
558,1
559,1
560,5
561,1
562,6
563,3
564,1
565,1
566,2
567,4
568,4
569,6
570,6
571,1
572,4
573,9
574,9
575,7
576,1
577,3
578,8
579,7
580,4
