salesdid;fName
1;Contemporary_Fiction
2;Contemporary_Fiction
3;
4;Contemporary_Fiction
5;
6;
7;Factual
8;
9;Dramatization
10;Contemporary_Fiction
11;Contemporary_Fiction
12;Fantasy
13;Historical_Fiction
14;Historical_Fiction
15;Historical_Fiction
16;Factual
17;Factual
18;Contemporary_Fiction
19;Contemporary_Fiction
20;Contemporary_Fiction
21;Contemporary_Fiction
22;Contemporary_Fiction
23;Factual
24;Historical_Fiction
25;Contemporary_Fiction
26;Contemporary_Fiction
27;Science_Fiction
28;Kids_Fiction
29;Dramatization
30;Kids_Fiction
31;Contemporary_Fiction
32;Historical_Fiction
33;Historical_Fiction
34;Contemporary_Fiction
35;Factual
36;Contemporary_Fiction
37;Contemporary_Fiction
38;Contemporary_Fiction
39;Historical_Fiction
40;Contemporary_Fiction
41;Historical_Fiction
42;Factual
43;Factual
44;Contemporary_Fiction
45;Kids_Fiction
46;Contemporary_Fiction
47;Factual
48;Contemporary_Fiction
49;Factual
50;
51;Factual
52;Contemporary_Fiction
53;Factual
54;
55;
56;Dramatization
57;
58;Contemporary_Fiction
59;Contemporary_Fiction
60;Science_Fiction
61;Contemporary_Fiction
62;Contemporary_Fiction
63;Factual
64;Fantasy
65;Contemporary_Fiction
66;Historical_Fiction
67;Contemporary_Fiction
68;Contemporary_Fiction
69;Factual
70;Science_Fiction
71;Kids_Fiction
72;
73;Factual
74;Dramatization
75;Contemporary_Fiction
76;
77;Contemporary_Fiction
78;Contemporary_Fiction
79;
80;
81;
82;Contemporary_Fiction
83;Contemporary_Fiction
84;
85;Kids_Fiction
86;
87;Fantasy
88;Kids_Fiction
89;Kids_Fiction
90;Science_Fiction
91;Dramatization
92;Contemporary_Fiction
93;Contemporary_Fiction
94;
95;Factual
96;Contemporary_Fiction
97;
98;
99;
100;
101;
102;Contemporary_Fiction
103;Contemporary_Fiction
104;Contemporary_Fiction
105;Historical_Fiction
106;Kids_Fiction
107;
108;
109;Contemporary_Fiction
110;Historical_Fiction
111;
112;Dramatization
113;Contemporary_Fiction
114;
115;Contemporary_Fiction
116;Historical_Fiction
117;Fantasy
118;Contemporary_Fiction
119;Historical_Fiction
120;Kids_Fiction
121;Contemporary_Fiction
122;Contemporary_Fiction
123;
124;Contemporary_Fiction
125;Science_Fiction
126;Contemporary_Fiction
127;
128;Contemporary_Fiction
129;Fantasy
130;
131;Dramatization
132;Contemporary_Fiction
133;Dramatization
134;
135;Historical_Fiction
136;Kids_Fiction
137;Factual
138;Contemporary_Fiction
139;Contemporary_Fiction
140;Contemporary_Fiction
141;
142;Contemporary_Fiction
143;Contemporary_Fiction
144;Factual
145;Historical_Fiction
146;Contemporary_Fiction
147;Contemporary_Fiction
148;Contemporary_Fiction
149;Historical_Fiction
150;Kids_Fiction
151;
152;Historical_Fiction
153;Contemporary_Fiction
154;
155;Contemporary_Fiction
156;Science_Fiction
157;
158;Factual
159;Contemporary_Fiction
160;
161;Fantasy
162;Historical_Fiction
163;
164;Contemporary_Fiction
165;Contemporary_Fiction
166;
167;Contemporary_Fiction
168;Contemporary_Fiction
169;Contemporary_Fiction
170;Contemporary_Fiction
171;Contemporary_Fiction
172;Contemporary_Fiction
173;
174;Kids_Fiction
175;Super_Hero
176;
177;Historical_Fiction
178;Contemporary_Fiction
179;Contemporary_Fiction
180;Contemporary_Fiction
181;Historical_Fiction
182;Historical_Fiction
183;Contemporary_Fiction
184;Historical_Fiction
185;Contemporary_Fiction
186;Historical_Fiction
187;Contemporary_Fiction
188;Contemporary_Fiction
189;Contemporary_Fiction
190;Kids_Fiction
191;Fantasy
192;Contemporary_Fiction
193;Fantasy
194;Factual
195;Dramatization
196;Factual
197;Contemporary_Fiction
198;Contemporary_Fiction
199;Factual
200;Factual
201;
202;Contemporary_Fiction
203;Contemporary_Fiction
204;Contemporary_Fiction
205;Contemporary_Fiction
206;
207;Contemporary_Fiction
208;Kids_Fiction
209;Contemporary_Fiction
210;
211;Contemporary_Fiction
212;Contemporary_Fiction
213;Contemporary_Fiction
214;Fantasy
215;Dramatization
216;Contemporary_Fiction
217;Contemporary_Fiction
218;Historical_Fiction
219;Historical_Fiction
220;Fantasy
221;Dramatization
222;Kids_Fiction
223;Contemporary_Fiction
224;Contemporary_Fiction
225;Contemporary_Fiction
226;Contemporary_Fiction
227;
228;
229;Contemporary_Fiction
230;Contemporary_Fiction
231;Dramatization
232;Fantasy
233;Contemporary_Fiction
234;Historical_Fiction
235;Contemporary_Fiction
236;Factual
237;Factual
238;Contemporary_Fiction
239;Factual
240;Contemporary_Fiction
241;
242;
243;Factual
244;Factual
245;Historical_Fiction
246;Factual
247;Fantasy
248;
249;Factual
250;Contemporary_Fiction
251;Contemporary_Fiction
252;Contemporary_Fiction
253;Contemporary_Fiction
254;
255;Contemporary_Fiction
256;
257;Dramatization
258;Kids_Fiction
259;Dramatization
260;Contemporary_Fiction
261;Kids_Fiction
262;
263;Dramatization
264;Factual
265;Contemporary_Fiction
266;
267;Contemporary_Fiction
268;Contemporary_Fiction
269;Historical_Fiction
270;Contemporary_Fiction
271;Fantasy
272;
273;
274;Kids_Fiction
275;Contemporary_Fiction
276;Contemporary_Fiction
277;Science_Fiction
278;
279;Contemporary_Fiction
280;Contemporary_Fiction
281;Contemporary_Fiction
282;
283;Contemporary_Fiction
284;Contemporary_Fiction
285;Factual
286;
287;
288;Historical_Fiction
289;Factual
290;Science_Fiction
291;Science_Fiction
292;Contemporary_Fiction
293;Contemporary_Fiction
294;Super_Hero
295;Dramatization
296;Contemporary_Fiction
297;Kids_Fiction
298;Historical_Fiction
299;Dramatization
300;
301;Factual
302;Science_Fiction
303;Science_Fiction
304;Contemporary_Fiction
305;
306;Contemporary_Fiction
