fname
Lynn Hershman-Leeson
Dan Trachtenberg
Brad Silberling
Jamie Linden
Cameron Cairnes
Jim O'Hanlon
Erik Poppe
Roland Emmerich
Carlos Marques-Marcet
Bent Hamer
Baltasar KormÃ¡kur
Kevin Lima
Robert Moresco
Xiaoshuai Wang
Jerzy Skolimowski
Alison Klayman
Nikita Mikhalkov
Amir Bar-Lev
Brea Grant
Ty Roberts
Lotfy Nathan
Nicolai Fuglsig
Corneliu Porumboiu
Danny Boyle
Gary Winick
Oliver Hirschbiegel
Daniel Stamm
GÃ©la Babluani
Ava DuVernay
Daniel Lee
Mikael HÃ¥fstrÃ¶m
John Herzfeld
Richard Donner
Richard Jobson
Burr Steers
Davy Rothbart
Delphine Coulin
Jackie Chan
Sam Mendes
Zak Hilditch
Ferenc TÃ¶rÃ¶k
Johanna Hamilton
Yen Tan
David Marmor
SÃ©bastien Betbeder
Julie Delpy
Julie Delpy
John Singleton
Baltasar KormÃ¡kur
Bernard Rose
Malte Ludin
RamÃ³n Salazar
Morgan Neville
Iain Forsyth
Roland Emmerich
Dinesh D'Souza
Kar Wai Wong
Seth Larney
Mike Mills
Robert Luketic
Jon Lucas
Brian Kirk
Alejandro GonzÃ¡lez IÃ±Ã¡rritu
Michael Dunaway
York Alec Shackleton
Paul Greengrass
Dylan Baker
Zhang Ke Jia
Alexandre Arcady
Abbas Kiarostami
Michael Winterbottom
Michael Ferris Gibson
Spike Lee
Anne Fletcher
Danny Boyle
Matt Ross
Juan Carlos Fresnadillo
Tom Tykwer
Marc Silver
Jordan Roberts
Eric Mendelsohn
Christopher Sun Lap Key
GaÃ«l Morel
McG
Jafar Panahi
Gaby Dellal
BenoÃ®t Jacquot
Ki-duk Kim
Thom Fitzgerald
DJ Pooh
Alexis Lloyd
Ruben Fleischer
Zack Snyder
Demian Lichtenstein
Elan Bogarin
Rob Zombie
James Mangold
Pauline Chan
Claire Denis
Fernando Meirelles
Dani Menkin
Ilya Khrjanovsky
JÃ©rÃ´me Reybaud
Cristian Mungiu
Michael Lehmann
Lee Aronsohn
Brian Helgeland
Malcolm Venville
Abel Ferrara
Andrew Haigh
Bill Ross IV
Johannes Roberts
Johannes Roberts
Carl Rinsch
Michael Apted
Andrew Nackman
Emad Burnat
Renny Harlin
Richard Loncraine
Danny Buday
Victor Levin
Peter Segal
Marc Webb
Jonathan Levine
Doug Block
Sophie Hyde
Michael Apted
FranÃ§ois Ozon
Marja Lewis Ryan
Blayne Weaver
BjÃ¶rn Stein
Michael Bay
Michael Apted
Vikram Gandhi
Pen-Ek Ratanaruang
Juan Carlos Maneglia
Bob Byington
JosÃ© Padilha
Steve Rosenbaum
Jay Martin
Alexandre Moratto
