metacleanid;fname
1;Hotwire Productions
2;Paramount Pictures
3;Click Star
4;Anchor Bay Entertainment
5;Music Box Films
6;Samuel Goldwyn Films
7;Film Movement
8;Warner Bros. Pictures
9;Broad Green Pictures
10;Kino Lorber
11;Menemsha Entertainment
12;Buena Vista Pictures
13;THINKFilm
14;First Run Features
15;IFC Films
16;The Orchard
17;Sony Pictures Classics
18;Weinstein Company, The
19;Magnet Releasing
20;Sony Pictures Classics
21;Oscilloscope Laboratories
22;Warner Bros.
23;Tartan
24;Fox Searchlight Pictures
25;Columbia Pictures
26;Sony Pictures Classics
27;Dimension Films
28;Palm Pictures
29;Netflix
30;The Weinstein Company
31;Metro-Goldwyn-Mayer (MGM)
32;New Line Cinema
33;Warner Bros. Pictures
34;Palisades Tartan
35;New Line Cinema
36;MTV Documentary Films
37;Strand Releasing
38;Well Go
39;Universal Pictures
40;Netflix
41;Menemsha Films
42;Film Collaborative, The
43;Wolfe Releasing
44;
45;Film Movement
46;Magnolia Pictures
47;Samuel Goldwyn Films
48;Universal Pictures
49;Universal Pictures
50;Breaking Glass Pictures
51;National Center for Jewish Film (NCJF)
52;TLA Releasing
53;RADiUS-TWC
54;Drafthouse Films
55;Columbia Pictures
56;Rocky Mountain Pictures
57;Sony Pictures Classics
58;RLJE Films
59;A24
60;Columbia Pictures
61;Relativity Media
62;Concorde Filmverleih
63;Focus Features
64;Gravitas Ventures
65;Millennium Films
66;Netflix
67;Ocean Avenue Entertainment
68;Cinema Guild
69;Menemsha Films
70;Janus Films
71;Metro-Goldwyn-Mayer Distributing Corporation (MGM)
72;Zealot Pictures
73;Buena Vista Pictures
74;Fox 2000 Pictures
75;Fox Searchlight Pictures
76;Oscilloscope Pictures
77;Fox Atomic
78;Strand Releasing
79;Participant Media
80;Variance Films
81;Screen Media Films
82;China Lion Film Distribution
83;TLA Releasing
84;Relativity Media
85;Kino Lorber
86;Weinstein Company, The
87;Cohen Media Group
88;Sony Pictures Classics
89;Covington USA
90;Metro-Goldwyn-Mayer Distributing Corporation (MGM)
91;Roadside Attractions
92;Columbia Pictures
93;Warner Bros. Pictures
94;Warner Bros. Pictures
95;
96;Saban Films
97;Lionsgate
