fname,metacleanid,saledid
Drama,1,1
Thriller/Suspense,2,2
,3,3
Drama,4,4
,5,5
Drama,6,6
Documentary,7,7
Comedy,8,8
Drama,9,9
Comedy,10,10
Drama,11,11
Comedy,12,12
Drama,13,13
Drama,14,14
Drama,15,15
Documentary,16,16
Concert/Performance,17,17
Drama,18,18
Drama,19,19
Drama,20,20
Comedy,21,21
Action,22,22
Documentary,23,23
Drama,24,24
Drama,25,25
Horror,26,26
Action,27,27
Adventure,28,28
Drama,29,29
Adventure,30,30
Drama,31,31
Drama,32,32
Drama,33,33
Action,34,34
Documentary,35,35
Drama,36,36
Romantic Comedy,37,37
Drama,38,38
Drama,39,39
Comedy,40,40
Drama,41,41
Documentary,42,42
Documentary,43,43
Comedy,44,44
Adventure,45,45
Romantic Comedy,46,46
Documentary,47,47
Comedy,48,48
Documentary,49,49
Drama,50,50
Documentary,51,51
Horror,52,52
Documentary,53,53
Comedy,54,54
Horror,55,55
Thriller/Suspense,56,56
Thriller/Suspense,57,57
Thriller/Suspense,58,58
Drama,59,59
Action,60,60
Comedy,61,61
Thriller/Suspense,62,62
Documentary,63,63
Adventure,64,64
Comedy,65,65
Drama,66,66
Action,67,67
Thriller/Suspense,68,68
Documentary,69,69
Adventure,70,70
Action,71,71
,72,72
Documentary,73,73
Adventure,74,74
Drama,75,75
,76,76
Comedy,77,77
Drama,78,78
,79,79
Drama,80,80
Comedy,81,81
Drama,82,82
Comedy,83,83
,84,84
Adventure,85,85
Comedy,86,86
Action,87,87
Adventure,88,88
Adventure,89,89
Comedy,90,90
Drama,91,91
Drama,92,92
Comedy,93,93
Drama,94,94
Documentary,95,95
Action,96,96
Romantic Comedy,97,97
Adventure,98,98
Drama,99,99
Drama,100,100
Drama,101,101
Comedy,102,102
Drama,103,103
Comedy,104,104
Action,105,105
Adventure,106,106
Adventure,107,107
Documentary,108,108
Adventure,109,109
Drama,110,110
Drama,111,111
Comedy,112,112
Comedy,113,113
Comedy,114,114
Drama,115,115
Drama,116,116
Comedy,117,117
Action,118,118
Comedy,119,119
Adventure,120,120
Romantic Comedy,121,121
Comedy,122,122
Horror,123,123
Thriller/Suspense,124,124
Comedy,125,125
Drama,126,126
Action,127,127
Drama,128,128
Action,129,129
Action,130,130
Drama,131,131
,132,132
Black Comedy,133,133
Adventure,134,134
Drama,135,135
Adventure,136,136
Documentary,137,137
Drama,138,138
Horror,139,139
Drama,140,140
Drama,141,141
Comedy,142,142
Drama,143,143
Documentary,144,144
Concert/Performance,145,145
Comedy,146,146
Drama,147,147
,148,148
Drama,149,149
Adventure,150,150
Drama,151,151
Drama,152,152
Musical,153,153
Adventure,154,154
Thriller/Suspense,155,155
Adventure,156,156
Drama,157,157
Documentary,158,158
Action,159,159
Adventure,160,160
Concert/Performance,161,161
Comedy,162,162
Thriller/Suspense,163,163
Drama,164,164
Comedy,165,165
Comedy,166,166
Comedy,167,167
Comedy,168,168
Comedy,169,169
Drama,170,170
Comedy,171,171
Drama,172,172
Comedy,173,173
Adventure,174,174
Comedy,175,175
Comedy,176,176
Drama,177,177
Thriller/Suspense,178,178
Romantic Comedy,179,179
Comedy,180,180
Drama,181,181
Drama,182,182
Drama,183,183
Action,184,184
,185,185
Adventure,186,186
Comedy,187,187
Comedy,188,188
Drama,189,189
Musical,190,190
Adventure,191,191
Drama,192,192
Adventure,193,193
Documentary,194,194
Drama,195,195
Documentary,196,196
,197,197
Drama,198,198
Documentary,199,199
Documentary,200,200
Comedy,201,201
Comedy,202,202
Romantic Comedy,203,203
Thriller/Suspense,204,204
Drama,205,205
Drama,206,206
Horror,207,207
Adventure,208,208
Musical,209,209
Drama,210,210
Drama,211,211
Drama,212,212
Drama,213,213
Romantic Comedy,214,214
Drama,215,215
Comedy,216,216
Drama,217,217
Drama,218,218
Concert/Performance,219,219
Drama,220,220
Thriller/Suspense,221,221
Adventure,222,222
Adventure,223,223
Action,224,224
Thriller/Suspense,225,225
Romantic Comedy,226,226
Concert/Performance,227,227
Thriller/Suspense,228,228
Drama,229,229
Comedy,230,230
Drama,231,231
Action,232,232
Comedy,233,233
Concert/Performance,234,234
Drama,235,235
Documentary,236,236
Documentary,237,237
Thriller/Suspense,238,238
Documentary,239,239
Drama,240,240
,241,241
,242,242
Documentary,243,243
Documentary,244,244
Drama,245,245
Documentary,246,246
Action,247,247
Drama,248,248
Documentary,249,249
Drama,250,250
Comedy,251,251
Comedy,252,252
Drama,253,253
Drama,254,254
Musical,255,255
,256,256
Documentary,257,257
Adventure,258,258
Drama,259,259
,260,260
Adventure,261,261
Comedy,262,262
Drama,263,263
Documentary,264,264
Drama,265,265
Horror,266,266
Comedy,267,267
Horror,268,268
Western,269,269
Action,270,270
Adventure,271,271
Comedy,272,272
Drama,273,273
Musical,274,274
Comedy,275,275
,276,276
Thriller/Suspense,277,277
Comedy,278,278
Comedy,279,279
Thriller/Suspense,280,280
Thriller/Suspense,281,281
Concert/Performance,282,282
Horror,283,283
Drama,284,284
Documentary,285,285
Thriller/Suspense,286,286
Romantic Comedy,287,287
Drama,288,288
Documentary,289,289
Adventure,290,290
Thriller/Suspense,291,291
Comedy,292,292
Drama,293,293
Adventure,294,294
Drama,295,295
Comedy,296,296
Adventure,297,297
Drama,298,298
Western,299,299
,300,300
Documentary,301,301
Comedy,302,302
Adventure,303,303
Comedy,304,304
Western,305,305
Drama,306,306
Horror,307,307
Drama,308,308
Comedy,309,309
Action,310,310
Comedy,311,311
Action,312,312
Comedy,313,313
Action,314,314
Thriller/Suspense,315,315
Drama,316,316
Adventure,317,317
Documentary,318,318
Adventure,319,319
Comedy,320,320
Documentary,321,321
Romantic Comedy,322,322
Comedy,323,323
Concert/Performance,324,324
Drama,325,325
Drama,326,326
Thriller/Suspense,327,327
Comedy,328,328
Adventure,329,329
Musical,330,330
Adventure,331,331
Comedy,332,332
Comedy,333,333
Horror,334,334
Drama,335,335
Adventure,336,336
Documentary,337,337
Drama,338,338
Drama,339,339
Drama,340,340
Comedy,341,341
Drama,342,342
Drama,343,343
Drama,344,344
Comedy,345,345
Comedy,346,346
Action,347,347
Comedy,348,348
Romantic Comedy,349,349
Comedy,350,350
Action,351,351
Drama,352,352
Drama,353,353
Comedy,354,354
Comedy,355,355
Action,356,356
Horror,357,357
Documentary,358,358
Documentary,359,359
Documentary,360,360
Thriller/Suspense,361,361
Drama,362,362
Drama,363,363
Musical,364,364
Drama,365,365
Adventure,366,366
Comedy,367,367
Drama,368,368
Comedy,369,369
Comedy,370,370
Drama,371,371
Comedy,372,372
Drama,373,373
Thriller/Suspense,374,374
